IP:PORT, LOSS, DELAY
188.114.99.165:1018,100.00%,1000 ms
162.159.195.228:1018,100.00%,1000 ms
188.114.96.69:1018,100.00%,1000 ms
188.114.98.175:1018,100.00%,1000 ms
188.114.96.178:1018,100.00%,1000 ms
188.114.98.164:1018,100.00%,1000 ms
188.114.96.198:880,100.00%,1000 ms
188.114.96.120:880,100.00%,1000 ms
162.159.195.251:880,100.00%,1000 ms
188.114.97.142:1018,100.00%,1000 ms
162.159.195.135:1018,100.00%,1000 ms
188.114.98.192:1018,100.00%,1000 ms
188.114.96.154:1018,100.00%,1000 ms
188.114.98.15:1018,100.00%,1000 ms
188.114.96.172:1018,100.00%,1000 ms
162.159.192.217:1018,100.00%,1000 ms
188.114.99.76:1018,100.00%,1000 ms
162.159.193.36:1018,100.00%,1000 ms
188.114.97.142:880,100.00%,1000 ms
188.114.99.246:880,100.00%,1000 ms
188.114.98.174:1018,100.00%,1000 ms
162.159.192.74:880,100.00%,1000 ms
188.114.97.3:1018,100.00%,1000 ms
162.159.192.221:880,100.00%,1000 ms
188.114.98.45:1018,100.00%,1000 ms
188.114.96.42:1018,100.00%,1000 ms
162.159.193.178:880,100.00%,1000 ms
188.114.96.198:1018,100.00%,1000 ms
162.159.192.67:1018,100.00%,1000 ms
188.114.98.252:880,100.00%,1000 ms
188.114.97.112:1018,100.00%,1000 ms
188.114.99.142:880,100.00%,1000 ms
162.159.193.127:880,100.00%,1000 ms
188.114.99.147:1018,100.00%,1000 ms
188.114.97.48:1018,100.00%,1000 ms
188.114.96.69:880,100.00%,1000 ms
162.159.195.247:1018,100.00%,1000 ms
188.114.96.13:880,100.00%,1000 ms
188.114.98.20:880,100.00%,1000 ms
188.114.99.22:1018,100.00%,1000 ms
162.159.193.228:880,100.00%,1000 ms
188.114.97.212:880,100.00%,1000 ms
188.114.96.61:880,100.00%,1000 ms
188.114.97.90:1018,100.00%,1000 ms
162.159.195.54:1018,100.00%,1000 ms
188.114.98.27:1018,100.00%,1000 ms
162.159.195.225:1018,100.00%,1000 ms
188.114.99.186:880,100.00%,1000 ms
162.159.195.154:1018,100.00%,1000 ms
162.159.193.89:1018,100.00%,1000 ms
188.114.97.90:880,100.00%,1000 ms
162.159.192.3:1018,100.00%,1000 ms
162.159.192.0:880,100.00%,1000 ms
188.114.96.172:880,100.00%,1000 ms
162.159.192.185:880,100.00%,1000 ms
188.114.97.3:880,100.00%,1000 ms
162.159.192.185:1018,100.00%,1000 ms
188.114.99.168:880,100.00%,1000 ms
188.114.97.246:1018,100.00%,1000 ms
162.159.192.3:880,100.00%,1000 ms
162.159.193.111:880,100.00%,1000 ms
162.159.195.45:880,100.00%,1000 ms
162.159.193.137:1018,100.00%,1000 ms
188.114.98.27:880,100.00%,1000 ms
162.159.193.231:1018,100.00%,1000 ms
188.114.98.233:880,100.00%,1000 ms
162.159.192.217:880,100.00%,1000 ms
188.114.96.42:880,100.00%,1000 ms
162.159.193.201:1018,100.00%,1000 ms
188.114.98.182:880,100.00%,1000 ms
188.114.99.161:1018,100.00%,1000 ms
188.114.97.131:880,100.00%,1000 ms
162.159.195.215:1018,100.00%,1000 ms
162.159.193.111:1018,100.00%,1000 ms
188.114.99.22:880,100.00%,1000 ms
188.114.97.48:880,100.00%,1000 ms
188.114.97.130:880,100.00%,1000 ms
162.159.193.15:880,100.00%,1000 ms
188.114.98.203:1018,100.00%,1000 ms
162.159.195.41:880,100.00%,1000 ms
188.114.97.212:1018,100.00%,1000 ms
162.159.195.135:880,100.00%,1000 ms
188.114.98.252:1018,100.00%,1000 ms
188.114.99.192:880,100.00%,1000 ms
188.114.96.83:1018,100.00%,1000 ms
162.159.193.110:880,100.00%,1000 ms
188.114.99.161:880,100.00%,1000 ms
162.159.192.220:1018,100.00%,1000 ms
162.159.193.79:1018,100.00%,1000 ms
162.159.193.201:880,100.00%,1000 ms
188.114.98.45:880,100.00%,1000 ms
188.114.97.197:880,100.00%,1000 ms
162.159.192.210:1018,100.00%,1000 ms
188.114.99.109:880,100.00%,1000 ms
162.159.192.67:880,100.00%,1000 ms
162.159.195.162:1018,100.00%,1000 ms
188.114.96.120:1018,100.00%,1000 ms
188.114.99.147:880,100.00%,1000 ms
188.114.98.192:880,100.00%,1000 ms
188.114.96.226:880,100.00%,1000 ms
